Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	66299.74	23854.87	24918.215	20594.096
100	44766.34	15390.42	64545.137	16912.904
150	71025.52	25018.56	38047.9	14981.955
200	103561.7	39954.887	20160.654	19594.87
250	169540.3	64085.2	32740.98	27423.475
300	213060.64	78508.76	40896.145	30697.535
350	292796.28	107170.91	55679.227	37629.137
400	370366.84	135001.45	69875.64	42361.72
450	445860.38	161056.3	84745.45	46853.85
500	520304.53	188168.5	99491.38	51312.836
550	663185.0	239159.45	126477.32	60458.414
600	797239.94	283723.44	150403.86	68039.2
650	900913.7	325263.16	172285.23	71688.38
700	1024139.1	370427.47	202202.27	77118.69
750	1204912.1	435811.25	227921.05	84540.1
800	1372113.8	496372.88	262096.34	93690.95
850	1534313.6	558101.4	294730.7	98620.4
900	1696372.1	610238.94	323849.1	102863.24
950	1899142.1	687702.25	369339.97	111558.7
1000	2108500.2	748308.8	398499.75	116380.86
